
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 97, 97]
[2][1, (1,0), 0, S, 1, 96, 97]
[8][2, (2,0), 2, S, 2, 95, 97]
[10][5, (2,1), 8, E, 3, 94, 99]
[15][6, (2,2), 10, E, 4, 93, 99]
[18][7, (2,3), 15, E, 5, 92, 99]
[23][8, (3,3), 18, S, 6, 91, 99]
[29][9, (4,3), 23, S, 7, 90, 99]
[32][12, (4,4), 29, E, 8, 89, 101]
[65][13, (4,5), 32, E, 9, 88, 101]
[69][14, (5,5), 65, S, 10, 87, 101]
[78][16, (5,6), 69, E, 11, 86, 102]
[97][17, (5,7), 78, E, 12, 85, 102]
[101][20, (5,8), 97, E, 13, 84, 104]
[176][21, (5,9), 101, E, 14, 83, 104]
[180][22, (5,10), 176, E, 15, 82, 104]
[183][23, (5,11), 180, E, 16, 81, 104]
[187][24, (6,11), 183, S, 17, 80, 104]
[195][25, (7,11), 187, S, 18, 79, 104]
[207][27, (8,11), 195, S, 19, 78, 105]
[304][28, (8,12), 207, E, 20, 77, 105]
[309][29, (9,12), 304, S, 21, 76, 105]
[315][30, (9,13), 309, E, 22, 75, 105]
[319][31, (10,13), 315, S, 23, 74, 105]
[338][32, (11,13), 319, S, 24, 73, 105]
[345][33, (11,14), 338, E, 25, 72, 105]
[349][35, (12,14), 345, S, 26, 71, 106]
[424][36, (12,15), 349, E, 27, 70, 106]
[428][37, (13,15), 424, S, 28, 69, 106]
[442][39, (13,16), 428, E, 29, 68, 107]
[540][40, (13,17), 442, E, 30, 67, 107]
[542][42, (13,18), 540, E, 31, 66, 108]
[660][43, (14,18), 542, S, 32, 65, 108]
[677][44, (15,18), 660, S, 33, 64, 108]
[711][46, (15,19), 677, E, 34, 63, 109]
[859][47, (15,20), 711, E, 35, 62, 109]
[864][48, (16,20), 859, S, 36, 61, 109]
[883][50, (17,20), 864, S, 37, 60, 110]
[1034][51, (18,20), 883, S, 38, 59, 110]
[1050][52, (18,21), 1034, E, 39, 58, 110]
[1055][53, (19,21), 1050, S, 40, 57, 110]
[1069][54, (20,21), 1055, S, 41, 56, 110]
[1076][55, (21,21), 1069, S, 42, 55, 110]
[1085][56, (22,21), 1076, S, 43, 54, 110]
[1104][57, (22,22), 1085, E, 44, 53, 110]
[1106][58, (23,22), 1104, S, 45, 52, 110]
[1118][59, (24,22), 1106, S, 46, 51, 110]
[1124][61, (24,23), 1118, E, 47, 50, 111]
[1292][62, (25,23), 1124, S, 48, 49, 111]
[1303][63, (25,24), 1292, E, 49, 48, 111]
[1307][65, (25,25), 1303, E, 50, 47, 112]
[1567][67, (25,26), 1307, E, 51, 46, 113]
[1761][68, (25,27), 1567, E, 52, 45, 113]
[1765][69, (26,27), 1761, S, 53, 44, 113]
[1809][70, (27,27), 1765, S, 54, 43, 113]
[1862][71, (28,27), 1809, S, 55, 42, 113]
[1899][72, (28,28), 1862, E, 56, 41, 113]
[1903][73, (29,28), 1899, S, 57, 40, 113]
[1922][74, (30,28), 1903, S, 58, 39, 113]
[1930][75, (31,28), 1922, S, 59, 38, 113]
[1933][78, (31,29), 1930, E, 60, 37, 115]
[2507][80, (32,29), 1933, S, 61, 36, 116]
[2858][81, (32,30), 2507, E, 62, 35, 116]
[2861][82, (32,31), 2858, E, 63, 34, 116]
[2865][83, (33,31), 2861, S, 64, 33, 116]
[2890][84, (34,31), 2865, S, 65, 32, 116]
[2899][85, (34,32), 2890, E, 66, 31, 116]
[2903][88, (34,33), 2899, E, 67, 30, 118]
[3424][89, (34,34), 2903, E, 68, 29, 118]
[3429][90, (35,34), 3424, S, 69, 28, 118]
[3444][92, (36,34), 3429, S, 70, 27, 119]
[3789][93, (36,35), 3444, E, 71, 26, 119]
[3792][94, (37,35), 3789, S, 72, 25, 119]
[3821][95, (37,36), 3792, E, 73, 24, 119]
[3825][96, (37,37), 3821, E, 74, 23, 119]
[3829][97, (37,38), 3825, E, 75, 22, 119]
[3832][98, (37,39), 3829, E, 76, 21, 119]
[3835][100, (37,40), 3832, E, 77, 20, 120]
[4126][101, (38,40), 3835, S, 78, 19, 120]
[4137][102, (38,41), 4126, E, 79, 18, 120]
[4140][103, (39,41), 4137, S, 80, 17, 120]
[4157][104, (39,42), 4140, E, 81, 16, 120]
[4161][105, (39,43), 4157, E, 82, 15, 120]
[4165][107, (39,44), 4161, E, 83, 14, 121]
[4466][108, (40,44), 4165, S, 84, 13, 121]
[4486][109, (40,45), 4466, E, 85, 12, 121]
[4488][112, (40,46), 4486, E, 86, 11, 123]
[5075][115, (41,46), 4488, S, 87, 10, 125]
[5620][116, (41,47), 5075, E, 88, 9, 125]
[5622][117, (41,48), 5620, E, 89, 8, 125]
[5626][120, (42,48), 5622, S, 90, 7, 127]
[6239][121, (42,49), 5626, E, 91, 6, 127]
[6242][122, (42,50), 6239, E, 92, 5, 127]
[6245][123, (42,51), 6242, E, 93, 4, 127]
[6247][124, (42,52), 6245, E, 94, 3, 127]
[6250][125, (42,53), 6247, E, 95, 2, 127]
[6253][126, (42,54), 6250, E, 96, 1, 127]
[6255][127, (42,55), 6253, E, 97, 0, 127]
