
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 92, 92]
[1][3, (0,1), 0, E, 1, 91, 91]
[3][6, (0,2), 1, E, 2, 90, 90]
[5][9, (1,2), 3, S, 3, 89, 89]
[8][10, (1,3), 5, E, 4, 88, 88]
[12][11, (1,4), 8, E, 5, 87, 87]
[16][12, (1,5), 12, E, 6, 86, 86]
[19][14, (1,6), 16, E, 7, 85, 85]
[23][16, (1,7), 19, E, 8, 84, 84]
[27][19, (2,7), 23, S, 9, 83, 83]
[30][22, (2,8), 27, E, 10, 82, 82]
[35][24, (3,8), 30, S, 11, 81, 81]
[40][26, (3,9), 35, E, 12, 80, 80]
[42][29, (3,10), 40, E, 13, 79, 79]
[46][32, (3,11), 42, E, 14, 78, 78]
[49][35, (4,11), 46, S, 15, 77, 77]
[52][36, (4,12), 49, E, 16, 76, 76]
[55][37, (4,13), 52, E, 17, 75, 75]
[60][41, (5,13), 55, S, 18, 74, 74]
[65][44, (5,14), 60, E, 19, 73, 73]
[68][46, (5,15), 65, E, 20, 72, 72]
[72][50, (5,16), 68, E, 21, 71, 71]
[75][54, (5,17), 72, E, 22, 70, 70]
[79][58, (6,17), 75, S, 23, 69, 69]
[82][60, (7,17), 79, S, 24, 68, 68]
[85][61, (8,17), 82, S, 25, 67, 67]
[88][62, (8,18), 85, E, 26, 66, 66]
[92][63, (8,19), 88, E, 27, 65, 65]
[96][65, (8,20), 92, E, 28, 64, 64]
[99][67, (8,21), 96, E, 29, 63, 63]
[103][70, (8,22), 99, E, 30, 62, 62]
[106][72, (8,23), 103, E, 31, 61, 61]
[109][73, (8,24), 106, E, 32, 60, 60]
[113][75, (8,25), 109, E, 33, 59, 59]
[117][78, (8,26), 113, E, 34, 58, 58]
[121][81, (8,27), 117, E, 35, 57, 57]
[125][84, (8,28), 121, E, 36, 56, 56]
[129][85, (8,29), 125, E, 37, 55, 55]
[133][87, (8,30), 129, E, 38, 54, 54]
[137][91, (8,31), 133, E, 39, 53, 53]
[140][95, (8,32), 137, E, 40, 52, 52]
[144][97, (8,33), 140, E, 41, 51, 51]
[148][99, (9,33), 144, S, 42, 50, 50]
[151][103, (9,34), 148, E, 43, 49, 49]
[155][104, (9,35), 151, E, 44, 48, 48]
[159][105, (9,36), 155, E, 45, 47, 47]
[163][107, (9,37), 159, E, 46, 46, 46]
[166][108, (9,38), 163, E, 47, 45, 45]
[170][110, (9,39), 166, E, 48, 44, 44]
[174][111, (10,39), 170, S, 49, 43, 43]
[177][115, (10,40), 174, E, 50, 42, 42]
[180][119, (11,40), 177, S, 51, 41, 41]
[183][120, (11,41), 180, E, 52, 40, 40]
[187][121, (11,42), 183, E, 53, 39, 39]
[190][123, (11,43), 187, E, 54, 38, 38]
[194][125, (11,44), 190, E, 55, 37, 37]
[198][128, (12,44), 194, S, 56, 36, 36]
[201][130, (12,45), 198, E, 57, 35, 35]
[204][132, (12,46), 201, E, 58, 34, 34]
[208][135, (12,47), 204, E, 59, 33, 33]
[212][138, (12,48), 208, E, 60, 32, 32]
[216][139, (12,49), 212, E, 61, 31, 31]
[219][140, (12,50), 216, E, 62, 30, 30]
[222][142, (13,50), 219, S, 63, 29, 29]
[225][143, (14,50), 222, S, 64, 28, 28]
[227][144, (15,50), 225, S, 65, 27, 27]
[230][145, (16,50), 227, S, 66, 26, 26]
[233][146, (16,49), 230, O, 67, 27, 27]
[236][148, (17,49), 233, S, 68, 26, 26]
[239][151, (17,50), 236, E, 69, 25, 25]
[242][152, (18,50), 239, S, 70, 24, 24]
[245][153, (19,50), 242, S, 71, 23, 23]
[248][154, (19,49), 245, O, 72, 24, 24]
[251][156, (20,49), 248, S, 73, 23, 23]
[255][159, (21,49), 251, S, 74, 22, 22]
[259][163, (21,50), 255, E, 75, 21, 21]
[262][164, (22,50), 259, S, 76, 20, 20]
[265][165, (23,50), 262, S, 77, 19, 19]
[268][167, (24,50), 265, S, 78, 18, 18]
[271][169, (25,50), 268, S, 79, 17, 17]
[275][170, (25,49), 271, O, 80, 18, 18]
[279][171, (26,49), 275, S, 81, 17, 17]
[281][173, (27,49), 279, S, 82, 16, 16]
[284][175, (27,50), 281, E, 83, 15, 15]
[287][178, (28,50), 284, S, 84, 14, 14]
[290][179, (29,50), 287, S, 85, 13, 13]
[293][180, (30,50), 290, S, 86, 12, 12]
[296][182, (30,49), 293, O, 87, 13, 13]
[299][183, (31,49), 296, S, 88, 12, 12]
[302][185, (31,48), 299, O, 89, 13, 13]
[308][187, (32,48), 302, S, 90, 12, 12]
[312][189, (33,48), 308, S, 91, 11, 11]
[316][190, (33,49), 312, E, 92, 10, 10]
[318][192, (33,50), 316, E, 93, 9, 9]
[321][194, (34,50), 318, S, 94, 8, 8]
[324][195, (35,50), 321, S, 95, 7, 7]
[327][196, (36,50), 324, S, 96, 6, 6]
[330][199, (37,50), 327, S, 97, 5, 5]
[332][202, (37,49), 330, O, 98, 6, 6]
[335][203, (38,49), 332, S, 99, 5, 5]
[338][204, (38,50), 335, E, 100, 4, 4]
[340][205, (39,50), 338, S, 101, 3, 3]
[343][206, (40,50), 340, S, 102, 2, 2]
[346][207, (41,50), 343, S, 103, 1, 1]
[349][208, (41,49), 346, O, 104, 2, 2]
[352][212, (42,49), 349, S, 105, 1, 1]
[355][214, (42,50), 352, E, 106, 0, 0]
