
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 91, 0]
[1][3, (1,0), 0, S, 1, 90, 3]
[3][4, (1,1), 1, E, 2, 89, 4]
[6][5, (2,1), 3, S, 3, 88, 5]
[13][6, (3,1), 6, S, 4, 87, 6]
[21][7, (4,1), 13, S, 5, 86, 7]
[23][8, (4,2), 21, E, 6, 85, 8]
[31][9, (5,2), 23, S, 7, 84, 9]
[40][10, (5,3), 31, E, 8, 83, 10]
[53][11, (6,3), 40, S, 9, 82, 11]
[65][14, (6,4), 53, E, 10, 81, 14]
[106][15, (7,4), 65, S, 11, 80, 15]
[118][16, (7,5), 106, E, 12, 79, 16]
[138][19, (7,6), 118, E, 13, 78, 19]
[190][20, (7,7), 138, E, 14, 77, 20]
[232][21, (8,7), 190, S, 15, 76, 21]
[257][22, (8,8), 232, E, 16, 75, 22]
[283][23, (8,9), 257, E, 17, 74, 23]
[309][24, (8,10), 283, E, 18, 73, 24]
[356][25, (9,10), 309, S, 19, 72, 25]
[383][28, (9,11), 356, E, 20, 71, 28]
[469][29, (10,11), 383, S, 21, 70, 29]
[503][30, (10,12), 469, E, 22, 69, 30]
[548][32, (10,13), 503, E, 23, 68, 32]
[641][33, (10,14), 548, E, 24, 67, 33]
[689][35, (11,14), 641, S, 25, 66, 35]
[762][37, (12,14), 689, S, 26, 65, 37]
[820][38, (12,15), 762, E, 27, 64, 38]
[864][40, (12,16), 820, E, 28, 63, 40]
[934][41, (12,17), 864, E, 29, 62, 41]
[997][42, (13,17), 934, S, 30, 61, 42]
[1043][43, (13,18), 997, E, 31, 60, 43]
[1104][44, (14,18), 1043, S, 32, 59, 44]
[1170][45, (14,19), 1104, E, 33, 58, 45]
[1230][46, (14,20), 1170, E, 34, 57, 46]
[1274][48, (14,21), 1230, E, 35, 56, 48]
[1382][49, (14,22), 1274, E, 36, 55, 49]
[1441][50, (14,23), 1382, E, 37, 54, 50]
[1498][52, (14,24), 1441, E, 38, 53, 52]
[1612][53, (15,24), 1498, S, 39, 52, 53]
[1672][55, (15,25), 1612, E, 40, 51, 55]
[1806][57, (15,26), 1672, E, 41, 50, 57]
[1920][58, (15,27), 1806, E, 42, 49, 58]
[2005][59, (16,27), 1920, S, 43, 48, 59]
[2089][62, (16,28), 2005, E, 44, 47, 62]
[2333][63, (17,28), 2089, S, 45, 46, 63]
[2419][64, (18,28), 2333, S, 46, 45, 64]
[2508][65, (18,29), 2419, E, 47, 44, 65]
[2574][67, (19,29), 2508, S, 48, 43, 67]
[2752][69, (20,29), 2574, S, 49, 42, 69]
[2915][72, (20,30), 2752, E, 50, 41, 72]
[3147][73, (20,31), 2915, E, 51, 40, 73]
[3254][74, (21,31), 3147, S, 52, 39, 74]
[3333][75, (21,32), 3254, E, 53, 38, 75]
[3448][76, (22,32), 3333, S, 54, 37, 76]
[3563][78, (22,33), 3448, E, 55, 36, 78]
[3743][80, (22,34), 3563, E, 56, 35, 80]
[3912][81, (22,35), 3743, E, 57, 34, 81]
[4011][82, (22,36), 3912, E, 58, 33, 82]
[4097][83, (22,37), 4011, E, 59, 32, 83]
[4177][84, (22,38), 4097, E, 60, 31, 84]
[4270][85, (23,38), 4177, S, 61, 30, 85]
[4393][86, (23,39), 4270, E, 62, 29, 86]
[4508][87, (24,39), 4393, S, 63, 28, 87]
[4626][88, (25,39), 4508, S, 64, 27, 88]
[4739][89, (26,39), 4626, S, 65, 26, 89]
[4848][90, (27,39), 4739, S, 66, 25, 90]
[4956][91, (28,39), 4848, S, 67, 24, 91]
[5058][94, (28,40), 4956, E, 68, 23, 94]
[5337][95, (29,40), 5058, S, 69, 22, 95]
[5439][98, (30,40), 5337, S, 70, 21, 98]
[5708][99, (31,40), 5439, S, 71, 20, 99]
[5797][100, (32,40), 5708, S, 72, 19, 100]
[5885][101, (32,41), 5797, E, 73, 18, 101]
[6015][102, (33,41), 5885, S, 74, 17, 102]
[6111][103, (33,40), 6015, O, 75, 18, 103]
[6212][104, (34,40), 6111, S, 76, 17, 104]
[6302][105, (35,40), 6212, S, 77, 16, 105]
[6393][106, (36,40), 6302, S, 78, 15, 106]
[6440][107, (36,41), 6393, E, 79, 14, 107]
[6494][108, (36,42), 6440, E, 80, 13, 108]
[6526][109, (37,42), 6494, S, 81, 12, 109]
[6573][110, (38,42), 6526, S, 82, 11, 110]
[6602][111, (39,42), 6573, S, 83, 10, 111]
[6649][114, (40,42), 6602, S, 84, 9, 114]
[6717][115, (41,42), 6649, S, 85, 8, 115]
[6744][117, (41,43), 6717, E, 86, 7, 117]
[6777][120, (41,44), 6744, E, 87, 6, 120]
[6840][122, (41,45), 6777, E, 88, 5, 122]
[6857][124, (41,46), 6840, E, 89, 4, 124]
[6871][125, (42,46), 6857, S, 90, 3, 125]
[6880][127, (42,47), 6871, E, 91, 2, 127]
[6893][128, (42,48), 6880, E, 92, 1, 128]
[6901][129, (43,48), 6893, S, 93, 0, 129]
