
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 103, 0]
[1][3, (1,0), 0, S, 1, 102, 3]
[3][6, (1,1), 1, E, 2, 101, 6]
[7][9, (2,1), 3, S, 3, 100, 9]
[20][10, (3,1), 7, S, 4, 99, 10]
[26][11, (3,2), 20, E, 5, 98, 11]
[32][12, (3,3), 26, E, 6, 97, 12]
[46][13, (4,3), 32, S, 7, 96, 13]
[56][14, (5,3), 46, S, 8, 95, 14]
[81][16, (6,3), 56, S, 9, 94, 16]
[108][17, (6,4), 81, E, 10, 93, 17]
[129][20, (7,4), 108, S, 11, 92, 20]
[174][24, (8,4), 129, S, 12, 91, 24]
[223][25, (9,4), 174, S, 13, 90, 25]
[247][26, (9,5), 223, E, 14, 89, 26]
[264][27, (10,5), 247, S, 15, 88, 27]
[297][30, (10,6), 264, E, 16, 87, 30]
[369][31, (10,7), 297, E, 17, 86, 31]
[380][32, (11,7), 369, S, 18, 85, 32]
[412][35, (12,7), 380, S, 19, 84, 35]
[497][36, (13,7), 412, S, 20, 83, 36]
[535][37, (14,7), 497, S, 21, 82, 37]
[569][38, (14,6), 535, O, 22, 83, 38]
[595][39, (15,6), 569, S, 23, 82, 39]
[626][40, (15,7), 595, E, 24, 81, 40]
[663][41, (16,7), 626, S, 25, 80, 41]
[704][42, (16,8), 663, E, 26, 79, 42]
[746][43, (17,8), 704, S, 27, 78, 43]
[786][44, (18,8), 746, S, 28, 77, 44]
[852][45, (19,8), 786, S, 29, 76, 45]
[903][46, (19,9), 852, E, 30, 75, 46]
[942][48, (20,9), 903, S, 31, 74, 48]
[1043][51, (20,10), 942, E, 32, 73, 51]
[1208][53, (21,10), 1043, S, 33, 72, 53]
[1323][54, (21,11), 1208, E, 34, 71, 54]
[1371][57, (22,11), 1323, S, 35, 70, 57]
[1539][58, (23,11), 1371, S, 36, 69, 58]
[1608][59, (24,11), 1539, S, 37, 68, 59]
[1683][60, (24,12), 1608, E, 38, 67, 60]
[1755][61, (25,12), 1683, S, 39, 66, 61]
[1815][62, (25,13), 1755, E, 40, 65, 62]
[1881][63, (26,13), 1815, S, 41, 64, 63]
[1964][64, (26,14), 1881, E, 42, 63, 64]
[2057][65, (26,15), 1964, E, 43, 62, 65]
[2120][66, (26,16), 2057, E, 44, 61, 66]
[2177][67, (26,17), 2120, E, 45, 60, 67]
[2248][68, (26,18), 2177, E, 46, 59, 68]
[2327][71, (26,19), 2248, E, 47, 58, 71]
[2548][73, (26,20), 2327, E, 48, 57, 73]
[2695][75, (27,20), 2548, S, 49, 56, 75]
[2875][77, (27,21), 2695, E, 50, 55, 77]
[3035][78, (27,22), 2875, E, 51, 54, 78]
[3132][79, (27,23), 3035, E, 52, 53, 79]
[3211][80, (28,23), 3132, S, 53, 52, 80]
[3291][81, (29,23), 3211, S, 54, 51, 81]
[3376][82, (29,24), 3291, E, 55, 50, 82]
[3474][83, (29,25), 3376, E, 56, 49, 83]
[3576][85, (29,26), 3474, E, 57, 48, 85]
[3798][86, (30,26), 3576, S, 58, 47, 86]
[3903][88, (30,27), 3798, E, 59, 46, 88]
[4120][91, (31,27), 3903, S, 60, 45, 91]
[4428][92, (31,28), 4120, E, 61, 44, 92]
[4513][94, (31,29), 4428, E, 62, 43, 94]
[4701][95, (32,29), 4513, S, 63, 42, 95]
[4787][96, (32,30), 4701, E, 64, 41, 96]
[4868][97, (33,30), 4787, S, 65, 40, 97]
[4956][98, (34,30), 4868, S, 66, 39, 98]
[5046][99, (35,30), 4956, S, 67, 38, 99]
[5179][100, (36,30), 5046, S, 68, 37, 100]
[5290][101, (36,31), 5179, E, 69, 36, 101]
[5388][102, (37,31), 5290, S, 70, 35, 102]
[5498][103, (38,31), 5388, S, 71, 34, 103]
[5594][104, (39,31), 5498, S, 72, 33, 104]
[5706][107, (40,31), 5594, S, 73, 32, 107]
[6035][110, (40,32), 5706, E, 74, 31, 110]
[6319][111, (41,32), 6035, S, 75, 30, 111]
[6397][112, (41,33), 6319, E, 76, 29, 112]
[6478][115, (41,34), 6397, E, 77, 28, 115]
[6731][117, (41,35), 6478, E, 78, 27, 117]
[6894][119, (41,36), 6731, E, 79, 26, 119]
[7035][120, (42,36), 6894, S, 80, 25, 120]
[7092][121, (43,36), 7035, S, 81, 24, 121]
[7174][123, (44,36), 7092, S, 82, 23, 123]
[7341][124, (44,37), 7174, E, 83, 22, 124]
[7420][125, (44,38), 7341, E, 84, 21, 125]
[7518][126, (44,39), 7420, E, 85, 20, 126]
[7592][128, (45,39), 7518, S, 86, 19, 128]
[7723][129, (46,39), 7592, S, 87, 18, 129]
[7814][130, (47,39), 7723, S, 88, 17, 130]
[7863][131, (48,39), 7814, S, 89, 16, 131]
[7954][133, (49,39), 7863, S, 90, 15, 133]
[8055][134, (50,39), 7954, S, 91, 14, 134]
[8134][136, (51,39), 8055, S, 92, 13, 136]
[8209][137, (52,39), 8134, S, 93, 12, 137]
[8270][139, (53,39), 8209, S, 94, 11, 139]
[8322][141, (54,39), 8270, S, 95, 10, 141]
[8393][142, (54,40), 8322, E, 96, 9, 142]
[8412][143, (55,40), 8393, S, 97, 8, 143]
[8452][144, (56,40), 8412, S, 98, 7, 144]
[8483][145, (56,41), 8452, E, 99, 6, 145]
[8514][148, (57,41), 8483, S, 100, 5, 148]
[8589][149, (57,42), 8514, E, 101, 4, 149]
[8615][152, (58,42), 8589, S, 102, 3, 152]
[8654][153, (58,43), 8615, E, 103, 2, 153]
[8671][156, (59,43), 8654, S, 104, 1, 156]
[8686][157, (59,44), 8671, E, 105, 0, 157]
