
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 84, 84]
[1][4, (0,1), 0, E, 1, 83, 87]
[5][5, (0,2), 1, E, 2, 82, 87]
[8][6, (0,3), 5, E, 3, 81, 87]
[11][7, (0,4), 8, E, 4, 80, 87]
[14][8, (1,4), 11, S, 5, 79, 87]
[25][10, (2,4), 14, S, 6, 78, 88]
[42][11, (2,5), 25, E, 7, 77, 88]
[46][13, (3,5), 42, S, 8, 76, 89]
[80][17, (3,6), 46, E, 9, 75, 92]
[105][19, (4,6), 80, S, 10, 74, 93]
[116][23, (4,7), 105, E, 11, 73, 96]
[170][24, (4,8), 116, E, 12, 72, 96]
[174][25, (4,9), 170, E, 13, 71, 96]
[178][26, (4,10), 174, E, 14, 70, 96]
[183][27, (5,10), 178, S, 15, 69, 96]
[200][29, (6,10), 183, S, 16, 68, 97]
[218][30, (6,11), 200, E, 17, 67, 97]
[222][31, (7,11), 218, S, 18, 66, 97]
[236][33, (8,11), 222, S, 19, 65, 98]
[271][36, (9,11), 236, S, 20, 64, 100]
[342][38, (10,11), 271, S, 21, 63, 101]
[379][39, (10,12), 342, E, 22, 62, 101]
[383][42, (10,13), 379, E, 23, 61, 103]
[468][45, (10,14), 383, E, 24, 60, 105]
[575][46, (11,14), 468, S, 25, 59, 105]
[584][48, (11,15), 575, E, 26, 58, 106]
[659][50, (11,16), 584, E, 27, 57, 107]
[740][52, (12,16), 659, S, 28, 56, 108]
[809][53, (13,16), 740, S, 29, 55, 108]
[823][55, (14,16), 809, S, 30, 54, 109]
[889][56, (14,17), 823, E, 31, 53, 109]
[893][57, (14,18), 889, E, 32, 52, 109]
[896][59, (15,18), 893, S, 33, 51, 110]
[987][61, (16,18), 896, S, 34, 50, 111]
[1072][62, (16,19), 987, E, 35, 49, 111]
[1076][63, (16,20), 1072, E, 36, 48, 111]
[1080][64, (16,21), 1076, E, 37, 47, 111]
[1084][65, (16,22), 1080, E, 38, 46, 111]
[1089][66, (17,22), 1084, S, 39, 45, 111]
[1104][70, (17,23), 1089, E, 40, 44, 114]
[1340][72, (17,24), 1104, E, 41, 43, 115]
[1424][74, (17,25), 1340, E, 42, 42, 116]
[1527][76, (18,25), 1424, S, 43, 41, 117]
[1574][77, (18,26), 1527, E, 44, 40, 117]
[1577][80, (18,27), 1574, E, 45, 39, 119]
[1814][82, (18,28), 1577, E, 46, 38, 120]
[1976][83, (18,29), 1814, E, 47, 37, 120]
[1980][84, (18,30), 1976, E, 48, 36, 120]
[1983][85, (18,31), 1980, E, 49, 35, 120]
[1986][87, (19,31), 1983, S, 50, 34, 121]
[2133][89, (19,32), 1986, E, 51, 33, 122]
[2253][91, (20,32), 2133, S, 52, 32, 123]
[2423][92, (21,32), 2253, S, 53, 31, 123]
[2433][96, (22,32), 2423, S, 54, 30, 126]
[2816][97, (23,32), 2433, S, 55, 29, 126]
[2822][99, (24,32), 2816, S, 56, 28, 127]
[2962][102, (24,33), 2822, E, 57, 27, 129]
[3262][103, (24,34), 2962, E, 58, 26, 129]
[3265][104, (25,34), 3262, S, 59, 25, 129]
[3269][106, (26,34), 3265, S, 60, 24, 130]
[3415][108, (26,35), 3269, E, 61, 23, 131]
[3582][110, (27,35), 3415, S, 62, 22, 132]
[3753][112, (28,35), 3582, S, 63, 21, 133]
[3883][114, (28,36), 3753, E, 64, 20, 134]
[4027][116, (28,37), 3883, E, 65, 19, 135]
[4182][117, (28,38), 4027, E, 66, 18, 135]
[4185][118, (28,39), 4182, E, 67, 17, 135]
[4189][122, (28,40), 4185, E, 68, 16, 138]
[4565][123, (28,41), 4189, E, 69, 15, 138]
[4569][125, (29,41), 4565, S, 70, 14, 139]
[4668][127, (30,41), 4569, S, 71, 13, 140]
[4781][128, (31,41), 4668, S, 72, 12, 140]
[4785][130, (32,41), 4781, S, 73, 11, 141]
[4915][133, (33,41), 4785, S, 74, 10, 143]
[5143][135, (34,41), 4915, S, 75, 9, 144]
[5218][136, (34,42), 5143, E, 76, 8, 144]
[5223][137, (35,42), 5218, S, 77, 7, 144]
[5240][139, (36,42), 5223, S, 78, 6, 145]
[5314][142, (37,42), 5240, S, 79, 5, 147]
[5471][144, (38,42), 5314, S, 80, 4, 148]
[5543][147, (38,43), 5471, E, 81, 3, 150]
[5682][149, (39,43), 5543, S, 82, 2, 151]
[5749][155, (40,43), 5682, S, 83, 1, 156]
[5888][156, (41,43), 5749, S, 84, 0, 156]
