
 CAMINO
[ID][COSTE, ESTADO, ID_PADRE, ACCI�N, PROFUNDIDAD, HEURISTICA,VALOR]
[0][0, (0,0), 0, null, 0, 92, 0]
[2][1, (1,0), 0, S, 1, 91, 1]
[8][4, (2,0), 2, S, 2, 90, 4]
[18][5, (3,0), 8, S, 3, 89, 5]
[27][6, (3,1), 18, E, 4, 88, 6]
[33][8, (3,2), 27, E, 5, 87, 8]
[49][9, (4,2), 33, S, 6, 86, 9]
[53][11, (5,2), 49, S, 7, 85, 11]
[71][12, (6,2), 53, S, 8, 84, 12]
[79][13, (7,2), 71, S, 9, 83, 13]
[96][14, (8,2), 79, S, 10, 82, 14]
[108][16, (9,2), 96, S, 11, 81, 16]
[166][17, (10,2), 108, S, 12, 80, 17]
[192][20, (11,2), 166, S, 13, 79, 20]
[244][21, (12,2), 192, S, 14, 78, 21]
[255][22, (13,2), 244, S, 15, 77, 22]
[276][23, (13,3), 255, E, 16, 76, 23]
[298][25, (13,4), 276, E, 17, 75, 25]
[354][26, (13,5), 298, E, 18, 74, 26]
[383][32, (13,6), 354, E, 19, 73, 32]
[523][33, (14,6), 383, S, 20, 72, 33]
[552][35, (14,7), 523, E, 21, 71, 35]
[603][37, (14,8), 552, E, 22, 70, 37]
[662][38, (15,8), 603, S, 23, 69, 38]
[719][39, (15,9), 662, E, 24, 68, 39]
[759][41, (15,10), 719, E, 25, 67, 41]
[846][42, (15,11), 759, E, 26, 66, 42]
[898][44, (15,12), 846, E, 27, 65, 44]
[992][45, (16,12), 898, S, 28, 64, 45]
[1043][46, (17,12), 992, S, 29, 63, 46]
[1085][47, (18,12), 1043, S, 30, 62, 47]
[1124][48, (18,13), 1085, E, 31, 61, 48]
[1160][50, (18,14), 1124, E, 32, 60, 50]
[1231][51, (19,14), 1160, S, 33, 59, 51]
[1276][52, (19,15), 1231, E, 34, 58, 52]
[1334][54, (20,15), 1276, S, 35, 57, 54]
[1423][56, (20,16), 1334, E, 36, 56, 56]
[1519][57, (21,16), 1423, S, 37, 55, 57]
[1570][58, (21,17), 1519, E, 38, 54, 58]
[1625][60, (21,18), 1570, E, 39, 53, 60]
[1712][61, (22,18), 1625, S, 40, 52, 61]
[1766][62, (22,19), 1712, E, 41, 51, 62]
[1821][64, (22,20), 1766, E, 42, 50, 64]
[1913][65, (23,20), 1821, S, 43, 49, 65]
[1970][68, (23,21), 1913, E, 44, 48, 68]
[2126][70, (23,22), 1970, E, 45, 47, 70]
[2214][71, (24,22), 2126, S, 46, 46, 71]
[2289][72, (25,22), 2214, S, 47, 45, 72]
[2355][74, (25,23), 2289, E, 48, 44, 74]
[2463][76, (25,24), 2355, E, 49, 43, 76]
[2574][77, (26,24), 2463, S, 50, 42, 77]
[2667][81, (27,24), 2574, S, 51, 41, 81]
[2943][82, (28,24), 2667, S, 52, 40, 82]
[3040][83, (29,24), 2943, S, 53, 39, 83]
[3124][84, (30,24), 3040, S, 54, 38, 84]
[3209][86, (31,24), 3124, S, 55, 37, 86]
[3356][87, (31,25), 3209, E, 56, 36, 87]
[3441][89, (32,25), 3356, S, 57, 35, 89]
[3579][91, (32,26), 3441, E, 58, 34, 91]
[3716][95, (32,27), 3579, E, 59, 33, 95]
[3997][97, (33,27), 3716, S, 60, 32, 97]
[4133][99, (34,27), 3997, S, 61, 31, 99]
[4289][101, (35,27), 4133, S, 62, 30, 101]
[4435][103, (35,28), 4289, E, 63, 29, 103]
[4594][104, (36,28), 4435, S, 64, 28, 104]
[4688][105, (36,29), 4594, E, 65, 27, 105]
[4753][107, (36,30), 4688, E, 66, 26, 107]
[4936][108, (37,30), 4753, S, 67, 25, 108]
[4996][110, (37,31), 4936, E, 68, 24, 110]
[5176][112, (37,32), 4996, E, 69, 23, 112]
[5339][113, (37,33), 5176, E, 70, 22, 113]
[5424][115, (37,34), 5339, E, 71, 21, 115]
[5586][118, (37,35), 5424, E, 72, 20, 118]
[5817][122, (37,36), 5586, E, 73, 19, 122]
[6103][123, (38,36), 5817, S, 74, 18, 123]
[6161][125, (39,36), 6103, S, 75, 17, 125]
[6252][127, (39,37), 6161, E, 76, 16, 127]
[6359][129, (40,37), 6252, S, 77, 15, 129]
[6456][131, (40,38), 6359, E, 78, 14, 131]
[6515][132, (40,39), 6456, E, 79, 13, 132]
[6541][138, (40,40), 6515, E, 80, 12, 138]
[6668][139, (41,40), 6541, S, 81, 11, 139]
[6691][142, (41,41), 6668, E, 82, 10, 142]
[6786][144, (42,41), 6691, S, 83, 9, 144]
[6847][146, (42,42), 6786, E, 84, 8, 146]
[6888][147, (42,43), 6847, E, 85, 7, 147]
[6914][149, (42,44), 6888, E, 86, 6, 149]
[6971][153, (43,44), 6914, S, 87, 5, 153]
[7016][156, (43,45), 6971, E, 88, 4, 156]
[7036][158, (43,46), 7016, E, 89, 3, 158]
[7060][161, (44,46), 7036, S, 90, 2, 161]
[7078][162, (45,46), 7060, S, 91, 1, 162]
[7086][165, (45,47), 7078, E, 92, 0, 165]
